frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_11,away_x_12,away_x_14,away_x_16,away_x_18,away_x_19,away_x_21,away_x_22,away_x_23,away_x_24,away_x_25,away_x_26,away_x_5,away_x_6,away_x_7,away_x_9,away_y_10,away_y_11,away_y_12,away_y_14,away_y_16,away_y_18,away_y_19,away_y_21,away_y_22,away_y_23,away_y_24,away_y_25,away_y_26,away_y_5,away_y_6,away_y_7,away_y_9,gk_away,home_x_1,home_x_11,home_x_15,home_x_16,home_x_17,home_x_18,home_x_19,home_x_2,home_x_21,home_x_24,home_x_25,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_y_1,home_y_11,home_y_15,home_y_16,home_y_17,home_y_18,home_y_19,home_y_2,home_y_21,home_y_24,home_y_25,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
21087,10508,19959,11.06,1,6649936,SH,OTB,1681,Achraf Hakimi,2,1,RB,-32.85,-9.75,-39.593,-37.838,NA,NA,-36.369,-36.816,NA,-38.385,NA,-51.303,-37.368,NA,-36.584,-37.148,-36.956,NA,-38.809,1.849,-7.654,NA,NA,7.943,-12.022,NA,-4.202,NA,-0.522,1.599,NA,-1.938,3.799,-5.937,NA,1.822,23,25.181,NA,-37.153,NA,-37.107,NA,-35.668,-28.513,NA,NA,NA,-24.699,-28.81,-6.982,-35.033,-28.964,-36.159,-1.13,NA,-4.871,NA,-13.291,NA,3.338,-11.843,NA,NA,NA,-7.782,0.835,0.858,8.442,-2.149,1.642,1,TRUE,goal_detected,1,11.05,OTB,TRUE,NA,NA,1681,Achraf Hakimi,NA,NA,S,FALSE,TRUE,O,FALSE
45732,10508,44709,24.77,1,6650158,SH,OTB,8341,Gavi,9,0,CM,40.83,1.58,39.715,42.139,NA,NA,1.141,7.482,NA,39.959,NA,-31.664,1.141,NA,19.18,17.211,19.692,NA,38.304,16.223,-2.038,NA,NA,-3.538,22.912,NA,24.109,NA,1.29,-3.538,NA,5.939,-5.365,-13.8,NA,3.256,23,45.691,NA,14.747,NA,14.585,NA,1.803,31.648,NA,NA,NA,26.163,43.715,42.49,45.314,12.627,23.973,-0.076,NA,-3.435,NA,-16.437,NA,-1.573,19.856,NA,NA,NA,-20.613,0.309,14.808,-2.936,24.17,12.208,1,FALSE,no_data,1,24.77,OTB,FALSE,NA,NA,8341,Gavi,1785,Bono,F,FALSE,FALSE,S,FALSE
45786,10508,44763,24.8,1,6650171,SH,OTB,1950,Ferran Torres,11,0,RW,55.51,-2.15,39.288,43.054,NA,NA,1.757,7.771,NA,38.966,NA,-30.828,1.757,NA,20.433,18.891,21.014,NA,42.233,12.289,-4.896,NA,NA,-4.204,20.784,NA,19.589,NA,0.616,-4.204,NA,3.409,-6.193,-16.104,NA,-2.416,23,51.885,NA,17.775,NA,18.13,NA,2.714,34.09,NA,NA,NA,28.219,47.348,43.943,51.885,13.864,25.311,1.991,NA,-3.795,NA,-15.788,NA,-1.548,16.721,NA,NA,NA,-19.017,-1.195,9.82,0.578,22.234,9.654,1,TRUE,goal_detected,1,24.78,OTB,FALSE,NA,NA,1950,Ferran Torres,NA,NA,F,FALSE,FALSE,B,FALSE
47834,10508,46826,25.94,1,6650262,SH,OTB,1696,Marco Asensio,10,0,CF,49.97,12.38,47.37,38.819,NA,NA,0.894,7.488,NA,19.654,NA,-31.77,-0.115,NA,16.117,18.609,7.458,NA,29.029,12.831,-11.858,NA,NA,-0.217,23.578,NA,26.476,NA,2.14,15.503,NA,16.274,6.192,-18.052,NA,-2.093,23,49.546,NA,22.091,NA,15.161,NA,9.158,27.406,NA,NA,NA,35.867,27.325,46.633,41.318,11.907,24.006,6.678,NA,1.103,NA,-18.891,NA,9.101,22.728,NA,NA,NA,-7.723,8.013,12.23,1.337,25.714,15.892,1,FALSE,no_data,1,25.9,OTB,FALSE,NA,NA,1696,Marco Asensio,NA,NA,V,FALSE,FALSE,O,FALSE
59274,10508,58296,32.3,1,6649198,SH,OTB,8027,Noussair Mazraoui,3,1,LB,-28.34,-3.05,-10.772,-19.813,NA,NA,-34.316,-32.112,NA,-24.776,NA,-48.852,-33.628,NA,-31.425,-29.979,-33.721,NA,-23.552,17.129,3.852,NA,NA,-3.018,8.751,NA,25.618,NA,-0.277,4.191,NA,14.46,-1.053,-11.409,NA,6.409,23,32.014,NA,-20.635,NA,-28.74,NA,-33.595,-25.348,NA,NA,NA,-25.124,-14.202,-2.898,-4.137,-28.11,-34.393,0.492,NA,-7.126,NA,-22.081,NA,-5.22,7.538,NA,NA,NA,-1.751,-0.231,12.985,8.309,20.358,14.572,1,FALSE,no_data,1,32.25,OTB,TRUE,NA,NA,8027,Noussair Mazraoui,1341,Unai Simon,S,FALSE,FALSE,S,FALSE
76473,10508,75540,41.86,1,6650483,SH,OTB,4002,Nayef Aguerd,5,1,RCB,-52.44,0.82,-14.304,-44.334,NA,NA,-48.372,-46.256,NA,-47.943,NA,-51.395,-48.86,NA,-48.668,-47.809,-45.522,NA,-43.694,0.146,-11.805,NA,NA,-2.223,-9.797,NA,4.924,NA,-2.011,1.684,NA,-12.525,-4.813,-2.249,NA,-3.615,23,26.797,NA,-42.305,NA,-45.928,NA,-48.131,-17.461,NA,NA,NA,-9.21,-26.174,-47.241,-47.567,-34.979,-30.902,-0.597,NA,-2.926,NA,-15.63,NA,-1.262,8.623,NA,NA,NA,-1.968,-0.846,4.117,6.605,-14.935,5.435,1,TRUE,goal_detected,1,41.85,OTB,TRUE,NA,NA,4002,Nayef Aguerd,NA,NA,S,FALSE,FALSE,O,FALSE
101738,10508,99287,54,2,6649392,SH,OTB,4908,Dani Olmo,21,0,LW,-44.94,-18.49,48.22,45.411,NA,NA,47.478,27.763,NA,43.382,NA,-26.027,47.383,NA,34.901,46.999,30.52,NA,46.219,21.873,-0.94,NA,NA,-6.022,7.435,NA,25.47,NA,0.759,-0.418,NA,18.628,6.997,-3.75,NA,-7.724,23,51.117,NA,47.961,NA,35.771,NA,48.208,43.714,NA,NA,NA,48.658,43.309,50.235,46.077,47.217,46.951,2.191,NA,0.781,NA,2.027,NA,5.336,12.858,NA,NA,NA,-2.332,5.399,-3.728,-4.879,5.14,17.574,1,FALSE,no_data,2,53.98,OTB,FALSE,NA,NA,4908,Dani Olmo,1785,Bono,S,FALSE,FALSE,S,FALSE
144217,10508,141844,77.62,2,6648843,SH,OTB,4908,Dani Olmo,21,0,LW,-32.64,-3.34,NA,NA,38.669,NA,6.261,29.575,40.505,31.979,NA,-29.778,6.317,NA,19.21,28.254,14.415,37.972,NA,NA,NA,-3.284,NA,0.268,22.119,8.739,6.936,NA,1.794,10.487,NA,14.294,3.82,-14.173,9.827,NA,23,48.751,NA,34.197,28.024,NA,NA,24.277,29.75,NA,NA,NA,40.134,37.758,43.591,39.872,15.075,31.161,1.338,NA,4.957,-10.235,NA,NA,4.781,25.946,NA,NA,NA,-5.227,6.855,7.936,3.386,23.433,5.172,1,FALSE,no_data,2,77.62,OTB,FALSE,NA,NA,4908,Dani Olmo,NA,NA,V,FALSE,FALSE,O,FALSE
150297,10508,147969,81,2,6649166,SH,OTB,1394,Alvaro Morata,7,0,CF,-51.02,6.51,NA,NA,34.772,NA,8.085,33.907,40.066,38.014,NA,-26.173,6.497,NA,24.334,24.112,20.313,44.349,NA,NA,NA,-10.902,NA,-7.753,18.905,-18.387,-1.446,NA,-1.277,-0.114,NA,6.002,-8.33,-22.328,-2.728,NA,23,51.926,NA,32.558,27.641,NA,NA,22.113,43.311,NA,NA,NA,31.192,44.827,47.034,38.689,39.794,29.168,-3.997,NA,-0.675,-16.664,NA,NA,0.986,0.411,NA,NA,NA,-19.13,-3.45,-9.13,-13.376,10.158,-15.465,1,FALSE,no_data,2,81,OTB,FALSE,NA,NA,1394,Álvaro Morata,NA,NA,S,FALSE,FALSE,O,FALSE
157616,10508,155336,85.07,2,6649475,SH,OTB,13869,Walid Cheddira,21,1,CF,43.02,-3.56,NA,NA,-31.091,NA,-44.904,-46.56,-34.306,-26.872,NA,-52.931,-44.312,NA,-42.046,-42.963,-52.244,-6.508,NA,NA,NA,-8.549,NA,0.715,13.488,-5.055,20.399,NA,0.615,0.749,NA,11.326,-5.146,-8.653,6.554,NA,23,30.426,-40.163,NA,-48.738,NA,-2.236,NA,-50.317,-44.211,NA,-25.891,NA,-17.004,NA,-3.654,-34.016,-23.645,0.885,-11.628,NA,-3.319,NA,11.346,NA,22.642,1.078,NA,-13.314,NA,6.522,NA,0.175,6.445,19.631,1,FALSE,no_data,2,85.07,OTB,TRUE,NA,NA,13869,Walid Cheddira,1341,Unai Simon,V,FALSE,FALSE,F,FALSE
