frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_14,away_x_19,away_x_2,away_x_20,away_x_21,away_x_25,away_x_3,away_x_4,away_x_5,away_x_7,away_x_9,away_y_1,away_y_10,away_y_11,away_y_14,away_y_19,away_y_2,away_y_20,away_y_21,away_y_25,away_y_3,away_y_4,away_y_5,away_y_7,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_13,home_x_15,home_x_16,home_x_19,home_x_20,home_x_22,home_x_4,home_x_6,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_13,home_y_15,home_y_16,home_y_19,home_y_20,home_y_22,home_y_4,home_y_6,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
12771,10510,7383,4.1,1,6662732,SH,OTB,1695,Vinícius Junior,20,0,LW,-34.48,-15.98,29.108,-38.59,-39.871,-44.008,NA,-25.589,-33.33,NA,NA,-2.744,-10.789,-21.158,-42.979,-42.218,-1.16,-13.862,10.481,2.813,NA,-17.774,-17.904,NA,NA,-8.121,7.173,-8.15,9.118,-5.222,1,-51.403,-31.103,-35.854,NA,-35.591,NA,-45.436,-41.543,-38.742,-32.384,-41.618,-42.044,-8.264,-1.896,-8.577,-14.085,NA,-15.593,NA,1.352,-4.424,-14.743,7.834,-6.809,5.491,2.674,1,TRUE,goal_detected,1,4.05,OTB,FALSE,NA,NA,1695,Vinícius Junior,13854,Dominik Livakovic,F,FALSE,FALSE,S,FALSE
27095,10510,21800,12.06,1,6663427,SH,OTB,8136,Ivan Perisic,4,1,LW,46.87,-2.17,48.664,11.285,29.979,44.025,NA,45.271,21.477,NA,NA,44.985,41.629,38.037,36.806,-1.694,-4.508,-26.329,6.46,-1.384,NA,-16.643,-24.502,NA,NA,-10.123,-2.695,-13.573,-3.106,-13.731,1,-33.25,17.59,16.147,NA,48.013,NA,15.302,-0.77,38.662,46.621,-2.045,22.004,36.458,-3.354,-4.707,-14.646,NA,-20.136,NA,15.544,0.083,-14.271,-8.54,-16.974,1.425,0.513,1,FALSE,no_data,1,12.05,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,V,FALSE,FALSE,O,FALSE
38553,10510,33258,18.43,1,6662384,SH,OTB,4883,Andrej Kramaric,9,1,CF,35.36,12.43,50.414,15.141,37.545,41.128,NA,42.376,32.492,NA,NA,41.944,41.751,35.612,36.25,22.561,1.469,-4.967,16.267,17.419,NA,-2.705,-11.605,NA,NA,0.264,6.229,2.633,10.155,6.992,1,-27.988,28.696,19.812,NA,43.509,NA,22.231,10.093,27.637,41.277,13.903,26.866,34.664,0.921,-0.223,3.083,NA,0.635,NA,21.236,-0.005,-11.058,23.393,-10.089,13.7,13.489,1,FALSE,no_data,1,18.35,OTB,TRUE,NA,NA,4883,Andrej Kramaric,NA,NA,S,FALSE,FALSE,B,FALSE
41106,10510,35826,19.85,1,6662480,SH,OTB,1695,Vinícius Junior,20,0,LW,-40.11,-3.61,28.098,-33.44,-43.912,-23.382,NA,-38.313,-37.184,NA,NA,-10.164,-5.806,-23.93,-35.874,-42.798,-1.567,-12.946,6.258,8.147,NA,-17.909,-4.84,NA,NA,-14.561,-1.244,-5.689,4.268,-7.615,1,-50.757,-32.643,-38.421,NA,-40.921,NA,-44.022,-42.712,-40.235,-37.19,-41.826,-39.867,-5.112,-1.756,-6.362,-6.519,NA,-15.865,NA,2.548,-2.109,-11.383,4.581,-5.699,-0.165,-9.071,1,FALSE,no_data,1,19.85,OTB,FALSE,NA,NA,1695,Vinícius Junior,NA,NA,F,FALSE,FALSE,B,FALSE
41509,10510,36229,20.08,1,6662495,SH,OTB,3865,Neymar,10,0,AM,-45.09,-8.96,26.833,-42.71,-43.31,-23.814,NA,-31.81,-40.968,NA,NA,-15.894,-7.197,-28.588,-36.918,-43.751,-2.098,-13.224,0.935,7.073,NA,-22.658,-9.772,NA,NA,-18.597,-3.351,-10.065,-4.568,-6.361,1,-50.582,-38.402,-40.654,NA,-43.414,NA,-44.126,-44.18,-42.99,-36.437,-42.94,-38.708,-17.876,-3.036,-11.506,-9.543,NA,-14.129,NA,1.271,-5.165,-12.008,5.805,-9.803,-4.77,-6.526,1,TRUE,goal_detected,1,19.97,OTB,FALSE,NA,NA,3865,Neymar,13854,Dominik Livakovic,F,FALSE,FALSE,S,FALSE
46084,10510,40819,22.62,1,6662675,SH,OTB,1683,Casemiro,5,0,CM,-33.55,7.95,30.599,-38.432,-39.867,-19.876,NA,-17.389,-33.454,NA,NA,-8.496,-5.322,-30.648,-32.796,-37.758,0.542,-3.691,12.337,18.598,NA,-3.072,-20.581,NA,NA,-4.658,10.314,7.963,17.559,10.088,1,-51.865,-37.765,-34.45,NA,-30.636,NA,-40.371,-40.927,-38.576,-33.885,-38.032,-34.127,-12.861,0.687,7.235,7.013,NA,-4.414,NA,11.833,5.789,-5.705,21.239,-0.534,15.757,8.37,1,FALSE,no_data,1,22.62,OTB,FALSE,NA,NA,1683,Casemiro,NA,NA,S,FALSE,FALSE,B,FALSE
58363,10510,53143,29.45,1,6663191,SH,OTB,8136,Ivan Perisic,4,1,LW,37.76,14.76,49.974,31.715,32.164,37.075,NA,42.66,27.744,NA,NA,43.371,42.252,41.234,37.775,2.813,1.767,7.56,6.876,18.85,NA,-3.906,-9.008,NA,NA,5.244,-1.439,0.436,-1.358,-0.248,1,-31.526,22.933,33.769,NA,43.934,NA,18.89,2.013,15.899,36.69,1.213,17.278,41.529,0.588,-5.115,7.884,NA,2.897,NA,19.155,5.372,-17.987,20.201,-9.054,5.341,-5.078,1,TRUE,goal_detected,1,29.37,OTB,TRUE,NA,NA,8136,Ivan Perisic,NA,NA,S,FALSE,FALSE,O,FALSE
80130,10510,74970,41.56,1,6664210,SH,OTB,3865,Neymar,10,0,AM,-36.03,-19.36,25,-35.364,-32.429,-42.944,NA,-20.786,-40.298,NA,NA,-42.448,-42.006,-34.532,-38.768,-43.318,-0.879,-21.594,-19.438,4.654,NA,-9.102,-12.574,NA,NA,-1.586,0.33,-1.401,6.034,-2.778,1,-51.954,-42.261,-41.248,NA,-44.087,NA,-43.487,-43.823,-40.828,-43.324,-44.027,-41.152,-39.336,-0.192,-11.815,-12.276,NA,-2.62,NA,3.554,2.14,5.214,0.365,0.833,-12.823,-8.126,1,TRUE,goal_detected,1,41.55,OTB,FALSE,NA,NA,3865,Neymar,13854,Dominik Livakovic,S,FALSE,TRUE,S,FALSE
NA,10510,NA,NA,NA,6662572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,46.85,OTB,TRUE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,S,FALSE
93484,10510,87283,47.3,2,6662660,SH,OTB,3865,Neymar,10,0,AM,42.6,2.93,28.013,-42.907,-43.981,-16.203,NA,-20.959,-39.788,NA,NA,-5.581,-4.312,-16.924,-32.987,-45.976,0.458,-3.88,9.562,23.841,NA,-14.92,-3.97,NA,NA,-7.968,5.531,4.749,0.855,-6.088,1,-50.912,-21.176,-41.326,NA,-37.862,NA,-43.65,-44.184,-43.993,-24.652,-44.175,-35.852,-5.732,-0.871,2.517,-7.88,NA,-10.675,NA,4.005,-2.646,-8.655,17.119,-5.96,2.763,-1.236,1,FALSE,no_data,2,47.28,OTB,FALSE,NA,NA,3865,Neymar,NA,NA,S,FALSE,FALSE,B,FALSE
