frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_11,away_x_14,away_x_18,away_x_22,away_x_4,away_x_5,away_x_7,away_x_8,away_x_9,away_y_1,away_y_10,away_y_11,away_y_14,away_y_18,away_y_22,away_y_4,away_y_5,away_y_7,away_y_8,away_y_9,gk_away,home_x_1,home_x_10,home_x_11,home_x_17,home_x_19,home_x_2,home_x_20,home_x_22,home_x_3,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_1,home_y_10,home_y_11,home_y_17,home_y_19,home_y_2,home_y_20,home_y_22,home_y_3,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
9029,10513,5911,3.28,1,6668396,SH,OTB,21,Phil Foden,20,1,LW,34.53,0.71,50.347,12.727,25.281,30.959,38.396,37.008,34.727,36.285,34.012,30.4,20.259,-0.388,-17.161,13.649,-12.584,-8.587,-19.385,-1.533,0.291,-2.429,-7.768,-21.364,1,-27.979,NA,NA,38.019,NA,11.259,34.521,26.077,19.574,13.319,2.584,6.106,NA,27.497,36.886,-2.288,NA,NA,-17.113,NA,-19.795,-0.576,-6.083,12.68,-13.946,-11.267,-0.69,NA,-16.7,-26.28,1,FALSE,no_data,1,3.25,OTB,TRUE,NA,NA,21,Phil Foden,NA,NA,V,FALSE,FALSE,B,FALSE
22158,10513,19103,10.58,1,6668819,SH,OTB,113,Olivier Giroud,9,0,CF,-46.02,0.2,27.163,-38.782,-45.474,-34.337,-3.796,-22.503,-2.515,-9.678,-40.215,-18.152,-43.362,1.78,0.761,24.175,3.27,1.429,-10.785,16.696,19.351,8.602,5.705,-1.031,1,-51.365,NA,NA,-26.643,NA,-45.027,-15.048,-25.706,-41.934,-44.509,-43.801,-45.625,NA,-37.333,-2.965,0.718,NA,NA,-10.096,NA,-1.982,23.964,13.155,12.03,18.141,0.543,8.786,NA,4.278,17.673,1,FALSE,no_data,1,10.57,OTB,FALSE,NA,NA,113,Olivier Giroud,169,Jordan Pickford,D,FALSE,FALSE,S,FALSE
32576,10513,29521,16.37,1,6668184,SH,OTB,3888,Aurélien Tchouaméni,8,0,CM,-31.06,3.13,25.297,-38.615,-35.408,-27.098,-10.882,-19.858,-7.43,-33.778,-37.757,-27.438,-39.783,0.225,8.669,15.806,-19.227,-6.322,-13.086,8.171,26.368,11.587,2.939,-1.654,1,-51.275,NA,NA,-31.987,NA,-40.066,-36.662,-29.404,-38.35,-33.332,-39.247,-36.836,NA,-33.351,-8.651,0.664,NA,NA,-13.218,NA,-5.275,17.259,3.122,9.519,8.701,-0.015,6.792,NA,0.556,5.335,1,TRUE,goal_detected,1,16.35,OTB,FALSE,NA,NA,3888,Aurélien Tchouaméni,169,Jordan Pickford,S,FALSE,FALSE,G,TRUE
39321,10513,36266,20.12,1,6668287,SH,OTB,123,Luke Shaw,3,1,LB,33.57,-10.19,51.503,36.149,36.412,40.49,42.259,40.339,41.04,40.544,41.061,41.04,34.838,0.596,1.891,3.232,-3.701,-4.061,-3.945,0.563,6.995,-8.286,-2.195,-0.671,1,-25,NA,NA,36.015,NA,13.3,39.952,39.518,32.703,38.291,37.845,39.277,NA,37.565,38.922,-0.324,NA,NA,-0.471,NA,-4.351,7.274,0.735,-12.276,-1.8,0.605,-6.853,NA,-13.503,-5.102,1,TRUE,goal_detected,1,20.12,OTB,TRUE,NA,NA,123,Luke Shaw,61,Hugo Lloris,S,FALSE,TRUE,S,FALSE
41773,10513,38718,21.49,1,6668387,SH,OTB,1,Harry Kane,9,1,CF,47.66,-9.8,48.114,15.822,32.533,39.414,46.287,47.818,46.082,43.773,44.505,42.262,17.433,-9.09,-17.85,2.221,-14.567,-11.21,-12.357,-3.293,3.31,-1.215,-4.706,-12.143,1,-26.325,NA,NA,38.992,NA,11.848,42,43.082,28.751,20.136,12.82,7.799,NA,43.052,48.548,-2.063,NA,NA,-13.642,NA,-18.364,2.333,-1.302,10.783,-1.939,-11.347,2.529,NA,-17.072,-10.076,1,FALSE,no_data,1,21.48,OTB,TRUE,NA,NA,1,Harry Kane,61,Hugo Lloris,O,FALSE,FALSE,S,FALSE
54380,10513,51340,28.5,1,6669040,SH,OTB,1,Harry Kane,9,1,CF,33.18,-14.5,50.997,21.852,36.202,34.068,38.531,37.338,39.698,38.29,36.522,31.346,18.079,-1.105,-18.306,10.643,-12.261,-8.683,-14.668,1.364,4.383,0.608,-6.635,-9.863,1,-25.646,NA,NA,37.993,NA,18.596,36.106,38.676,35.002,26.438,6.859,8.768,NA,32.433,30.712,-1.759,NA,NA,-16.369,NA,-12.082,4.851,3.597,14.76,-4.252,-7.152,1.979,NA,-23.468,-15.282,1,FALSE,no_data,1,28.47,OTB,TRUE,NA,NA,1,Harry Kane,61,Hugo Lloris,S,FALSE,FALSE,S,FALSE
72819,10513,69839,38.75,1,6668722,SH,OTB,3870,Kylian Mbappé,10,0,LW,-44.07,-5.44,25,-40.98,-36.054,-41.551,-46.909,-51.485,-38.992,-18.218,-26.349,-28.929,-46.438,-2.936,-5.117,-10.796,-12.38,8.404,-17.563,0.115,0.651,-14.353,1.719,-1.477,1,-51.79,NA,NA,-49.042,NA,-45.392,-51.065,-38.01,-45.85,-48.003,-48.772,-47.016,NA,-42.104,-48.874,-2.529,NA,NA,-17.133,NA,-8.147,-11.725,-11.962,-1.294,6.301,-1.693,1.269,NA,-3.614,-4.822,1,TRUE,goal_detected,1,38.75,OTB,FALSE,NA,NA,3870,Kylian Mbappé,NA,NA,V,FALSE,FALSE,O,FALSE
96735,10513,92836,46.6,2,6668210,SH,OTB,4677,Jude Bellingham,22,1,CM,-43.36,6.13,51.589,33.626,33.8,40.785,42.618,37.529,41.478,44.21,41.801,39.265,41.78,-0.565,-11.338,1.75,-11.918,2.501,-7.521,-2.12,4.721,7.36,-5.088,-1.025,1,-25,NA,NA,26.568,NA,22.288,44.643,34.582,16.577,37.457,34.775,35.372,NA,35.413,40.284,-0.906,NA,NA,1.963,NA,-4.985,-3.621,-5.27,-8.232,5.64,-3.346,-2.597,NA,-8.142,-14.628,1,FALSE,no_data,2,46.58,OTB,TRUE,NA,NA,4677,Jude Bellingham,61,Hugo Lloris,V,FALSE,FALSE,S,FALSE
97832,10513,93941,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
97832,10513,93942,47.21,2,6668239,SH,OTB,118,Harry Maguire,6,1,LCB,-50.29,-4.32,51.283,39.105,38.886,48.189,47.319,35.72,48.835,49.258,44.5,51.173,48.896,1.984,-9.668,10.437,7.382,6.703,1.637,-4.873,2.991,-12.156,-5.078,-2.538,1,-25,NA,NA,37.087,NA,16.29,48.432,46.878,29.443,47.785,47.725,48.842,NA,49.209,45.076,-0.138,NA,NA,9.778,NA,-2.56,-26.548,3.242,-12.97,0.734,-6.349,7.323,NA,-8.919,-13.757,1,FALSE,no_data,2,47.2,OTB,TRUE,NA,NA,118,Harry Maguire,NA,NA,S,FALSE,FALSE,C,FALSE
