frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_1,away_x_10,away_x_13,away_x_15,away_x_16,away_x_17,away_x_18,away_x_19,away_x_3,away_x_4,away_x_5,away_x_6,away_x_7,away_x_9,away_y_1,away_y_10,away_y_13,away_y_15,away_y_16,away_y_17,away_y_18,away_y_19,away_y_3,away_y_4,away_y_5,away_y_6,away_y_7,away_y_9,gk_away,home_x_11,home_x_13,home_x_15,home_x_16,home_x_17,home_x_2,home_x_21,home_x_22,home_x_23,home_x_3,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_11,home_y_13,home_y_15,home_y_16,home_y_17,home_y_2,home_y_21,home_y_22,home_y_23,home_y_3,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
28319,3825,22903,12.64,1,6527792,SH,OTB,8133,Matias Vecino,5,1,CM,-46.33,-10.64,-49.713,-30.033,NA,-30.745,1.435,-12.047,NA,-43.606,-31.505,-39.42,-42.457,-35.531,-32.834,NA,-3.786,-6.172,NA,-14.472,3.858,-18.169,NA,-0.323,15.245,-17.156,-8.853,-15.176,10.76,NA,1,-19.013,NA,-14.282,-34.619,NA,-1.394,NA,-5.643,33.137,0.155,-44.518,-18.986,NA,-22.517,-41.582,-15.838,NA,8.21,-19.838,NA,-8.823,NA,12.092,-0.194,1.724,-10.149,0.747,NA,16.104,1.337,23,FALSE,no_data,1,12.63,OTB,TRUE,NA,NA,8133,Matias Vecino,13907,Seun-gyu Kim,S,FALSE,FALSE,S,FALSE
39321,3825,33935,18.75,1,6527264,SH,OTB,1684,Federico Valverde,15,1,CM,-40.9,-3.67,-49.813,-11.505,NA,-31.897,-0.701,-22.171,NA,-36.196,-38.653,-36.741,-25.278,-20.347,-19.958,NA,-1.454,-3.793,NA,-12.082,-12.846,-22.322,NA,-0.775,-3.364,-6.038,-0.098,-10.285,10.64,NA,1,-33.76,NA,-39.244,-14.336,NA,-1.492,NA,-11.949,32.032,-0.392,-19.05,-7.374,NA,-36.935,-27.926,-13.036,NA,-1.987,-27.535,NA,-15.235,NA,19.009,-1.688,11.341,-8.602,-8.439,NA,16.781,-2.647,23,TRUE,goal_detected,1,18.73,OTB,TRUE,NA,NA,1684,Federico Valverde,NA,NA,V,FALSE,FALSE,O,FALSE
44005,3825,38634,21.36,1,6527549,SH,OTB,1535,Luis Suarez,9,1,CF,-43.58,-8.34,-51.123,-31.782,NA,-49.977,-20.503,-42.337,NA,-51.017,-35.235,-48.238,-46.053,-44.117,-48.21,NA,-3.551,8.229,NA,-7.647,3.866,-11.342,NA,2.176,4.543,-2.545,-0.452,-5.663,7.015,NA,1,-50.283,NA,-15.105,-49.367,NA,-12.298,NA,-23.968,30.056,-8.086,-42.962,-27.11,NA,-46.48,-46.322,5.486,NA,0.726,-13.317,NA,-12.059,NA,15.131,-0.979,7.704,-0.966,0.264,NA,12.338,-4.058,23,FALSE,no_data,1,21.35,OTB,TRUE,NA,NA,1535,Luis Suárez,NA,NA,V,FALSE,FALSE,O,FALSE
65999,3825,60740,33.59,1,6527329,SH,OTB,4280,Ui-jo Hwang,16,0,CF,44.53,-3.47,-29.019,42.897,NA,38.331,41.402,45.812,NA,8.763,25.538,7.535,27.613,22.418,42.082,NA,-2.022,-2.219,NA,3.841,-18.502,-7.344,NA,0.849,12.095,-11.353,-12.377,-22.595,13.083,NA,1,38.308,NA,36.929,44.721,NA,46.111,NA,45.028,50.022,44.671,42.928,36.095,NA,35.361,13.951,-18.512,NA,-1.306,-16.456,NA,-6.61,NA,4.246,-2.675,0.198,-9.29,-11.266,NA,7.464,-3.283,23,TRUE,goal_detected,1,33.58,OTB,FALSE,NA,NA,4280,Ui-jo Hwang,NA,NA,F,FALSE,FALSE,O,FALSE
75121,3825,69877,38.66,1,6527873,SH,OTB,1257,In-beom Hwang,6,0,CM,27.7,-12.77,-26.738,36.518,NA,36.311,39.55,35.72,NA,6.177,31.357,6.02,13.393,24.272,39.742,NA,-1.342,5.331,NA,-28.608,-1.05,-11.26,NA,5.112,16.081,-10.047,3.366,-14.416,7.728,NA,1,24.42,NA,26.815,37.603,NA,39.296,NA,39.729,50.112,40.545,33.371,29.11,NA,39.701,7.503,-8.356,NA,2.005,-17.239,NA,-6.274,NA,5.24,-1.41,-0.428,-13.214,-11.076,NA,9.703,-4.713,23,TRUE,goal_detected,1,38.63,OTB,FALSE,NA,NA,1257,In-beom Hwang,NA,NA,S,FALSE,FALSE,O,FALSE
82627,3825,77398,42.84,1,6528217,SH,OTB,13926,Diego Godin,3,1,RCB,-47.17,-3.02,-50.177,-45.787,NA,-46.148,-47.001,-42.497,NA,-44.862,-45.723,-46.355,-45.535,-44.104,-45.902,NA,0.106,5.62,NA,2.489,8.011,-1.926,NA,-0.426,-6.384,4.482,4.497,-3.204,11.219,NA,1,-42.786,NA,-38.87,-31.779,NA,-35.839,NA,-17.821,26.25,-44.017,-48.869,-30.179,NA,-41.272,-41.092,-0.695,NA,24.365,-9.085,NA,4.19,NA,5.759,0.997,-1.264,9.003,4.282,NA,25.56,-13.027,23,FALSE,no_data,1,42.83,OTB,TRUE,NA,NA,13926,Diego Godin,NA,NA,S,FALSE,FALSE,O,FALSE
82627,3825,77399,42.84,1,6528217,SH,OTB,13926,Diego Godin,3,1,RCB,-47.17,-3.02,-50.177,-45.787,NA,-46.148,-47.001,-42.497,NA,-44.862,-45.723,-46.355,-45.535,-44.104,-45.902,NA,0.106,5.62,NA,2.489,8.011,-1.926,NA,-0.426,-6.384,4.482,4.497,-3.204,11.219,NA,1,-42.786,NA,-38.87,-31.779,NA,-35.839,NA,-17.821,26.25,-44.017,-48.869,-30.179,NA,-41.272,-41.092,-0.695,NA,24.365,-9.085,NA,4.19,NA,5.759,0.997,-1.264,9.003,4.282,NA,25.56,-13.027,23,FALSE,no_data,1,42.83,OTB,TRUE,NA,NA,13926,Diego Godin,NA,NA,S,FALSE,FALSE,O,FALSE
82627,3825,77400,42.84,1,6528217,SH,OTB,13926,Diego Godin,3,1,RCB,-47.17,-3.02,-50.177,-45.787,NA,-46.148,-47.001,-42.497,NA,-44.862,-45.723,-46.355,-45.535,-44.104,-45.902,NA,0.106,5.62,NA,2.489,8.011,-1.926,NA,-0.426,-6.384,4.482,4.497,-3.204,11.219,NA,1,-42.786,NA,-38.87,-31.779,NA,-35.839,NA,-17.821,26.25,-44.017,-48.869,-30.179,NA,-41.272,-41.092,-0.695,NA,24.365,-9.085,NA,4.19,NA,5.759,0.997,-1.264,9.003,4.282,NA,25.56,-13.027,23,FALSE,no_data,1,42.83,OTB,TRUE,NA,NA,13926,Diego Godin,NA,NA,S,FALSE,FALSE,O,FALSE
82627,3825,77401,42.84,1,6528217,SH,OTB,13926,Diego Godin,3,1,RCB,-47.17,-3.02,-50.177,-45.787,NA,-46.148,-47.001,-42.497,NA,-44.862,-45.723,-46.355,-45.535,-44.104,-45.902,NA,0.106,5.62,NA,2.489,8.011,-1.926,NA,-0.426,-6.384,4.482,4.497,-3.204,11.219,NA,1,-42.786,NA,-38.87,-31.779,NA,-35.839,NA,-17.821,26.25,-44.017,-48.869,-30.179,NA,-41.272,-41.092,-0.695,NA,24.365,-9.085,NA,4.19,NA,5.759,0.997,-1.264,9.003,4.282,NA,25.56,-13.027,23,FALSE,no_data,1,42.83,OTB,TRUE,NA,NA,13926,Diego Godin,NA,NA,S,FALSE,FALSE,O,FALSE
82627,3825,77402,42.84,1,6528217,SH,OTB,13926,Diego Godin,3,1,RCB,-47.17,-3.02,-50.177,-45.787,NA,-46.148,-47.001,-42.497,NA,-44.862,-45.723,-46.355,-45.535,-44.104,-45.902,NA,0.106,5.62,NA,2.489,8.011,-1.926,NA,-0.426,-6.384,4.482,4.497,-3.204,11.219,NA,1,-42.786,NA,-38.87,-31.779,NA,-35.839,NA,-17.821,26.25,-44.017,-48.869,-30.179,NA,-41.272,-41.092,-0.695,NA,24.365,-9.085,NA,4.19,NA,5.759,0.997,-1.264,9.003,4.282,NA,25.56,-13.027,23,FALSE,no_data,1,42.83,OTB,TRUE,NA,NA,13926,Diego Godin,NA,NA,S,FALSE,FALSE,O,FALSE
