frameNum,game_id,ind,gametime,period,event_id,possession_event_type,game_event_type,active_player_id,active_player_name,active_jerseyNum,active_home_team,active_position,ball_x,ball_y,away_x_10,away_x_13,away_x_15,away_x_16,away_x_17,away_x_19,away_x_2,away_x_21,away_x_22,away_x_23,away_x_3,away_x_5,away_x_6,away_x_7,away_x_8,away_y_10,away_y_13,away_y_15,away_y_16,away_y_17,away_y_19,away_y_2,away_y_21,away_y_22,away_y_23,away_y_3,away_y_5,away_y_6,away_y_7,away_y_8,gk_away,home_x_10,home_x_11,home_x_14,home_x_16,home_x_17,home_x_18,home_x_2,home_x_20,home_x_21,home_x_23,home_x_4,home_x_5,home_x_6,home_x_7,home_x_8,home_x_9,home_y_10,home_y_11,home_y_14,home_y_16,home_y_17,home_y_18,home_y_2,home_y_20,home_y_21,home_y_23,home_y_4,home_y_5,home_y_6,home_y_7,home_y_8,home_y_9,gk_home,goal_likely,goal_reason,i.period,i.gametime,event_type,home_team,sub_out_id,sub_in_id,shooter_id,player_name,gk_id,gk_name,shot_type,penalty,free_kick,shot_outcome,goal
1758,3858,545,0.3,1,6626567,SH,OTB,157,Granit Xhaka,10,0,CM,-32.67,-2.05,-30.627,-9.386,-37.131,NA,-41.943,NA,NA,28.127,-5.819,-37.467,-17.013,-1.687,NA,-35.026,-18.345,-0.613,-11.991,23.493,NA,-2.641,NA,NA,2.548,9.872,10.104,22.219,1.528,NA,2.831,7.194,21,-18.745,NA,-37.618,-36.735,-20.281,-7.496,-42.406,-39.565,NA,-50.856,-41.89,-41.727,NA,NA,NA,-0.458,9.621,NA,0.717,3.556,24.489,-6.048,6.212,14.265,NA,0.385,-0.513,19.68,NA,NA,NA,12.105,23,FALSE,no_data,1,0.3,OTB,FALSE,NA,NA,157,Granit Xhaka,NA,NA,S,FALSE,FALSE,C,FALSE
1863,3858,650,0.36,1,6626583,SH,OTB,4717,Breel Embolo,7,0,CF,-45.92,-1.95,-34.684,-14.669,-33.916,NA,-41.147,NA,NA,27.568,-10.873,-43.961,-25.016,-4.622,NA,-44.987,-23.676,-1.27,-10.858,10.705,NA,-9.378,NA,NA,0.826,5.344,7.865,17.626,-0.771,NA,-0.927,3.613,21,-23.819,NA,-37.503,-44.323,-30.592,-14.521,-45.689,-41.888,NA,-48.192,-45.016,-39.262,NA,NA,NA,-4.204,5.26,NA,-5.04,-0.347,20.162,-6.935,3.057,4.841,NA,-0.992,-3.203,9.911,NA,NA,NA,9.003,23,FALSE,no_data,1,0.35,OTB,FALSE,NA,NA,4717,Breel Embolo,12653,Vanja Milinković-Savić,F,FALSE,FALSE,S,FALSE
1911,3858,698,0.39,1,6626587,SH,OTB,157,Granit Xhaka,10,0,CM,-41.91,2.54,-37.875,-17.908,-36.456,NA,-43.293,NA,NA,26.268,-13.914,-44.878,-28.033,-7.755,NA,-49.333,-26.854,1.707,-10.489,5.403,NA,-5.698,NA,NA,0.409,4.277,6.49,16.178,-1.243,NA,-5.271,2.646,21,-27.767,NA,-39.716,-43.873,-33.859,-21.844,-50.114,-41.324,NA,-50.073,-45.671,-41.217,NA,NA,NA,-6.981,3.949,NA,-2.755,0.939,19.269,-8.723,0.972,2.783,NA,-0.259,-0.465,5.589,NA,NA,NA,7.877,23,FALSE,no_data,1,0.38,OTB,FALSE,NA,NA,157,Granit Xhaka,12653,Vanja Milinković-Savić,V,FALSE,FALSE,S,FALSE
9450,3858,8270,4.58,1,6627047,SH,OTB,12576,Nikola Milenkovic,4,1,RCB,50.28,4.99,46.497,46.487,44.476,NA,36.667,NA,NA,51.752,46.221,41.088,44.05,48.167,NA,43.574,47.207,6.755,-3.074,6.381,NA,1.727,NA,NA,0.671,6.07,23.557,2.599,1.646,NA,3.983,9.794,21,50.98,NA,33.33,37.214,43.585,45.761,40.68,46.057,NA,-25,42.945,34.489,NA,NA,NA,41.676,30.386,NA,2.951,8.355,30.895,3.648,3.476,8.607,NA,2.497,1.525,4.408,NA,NA,NA,-2.841,23,FALSE,no_data,1,4.57,OTB,TRUE,NA,NA,12576,Nikola Milenkovic,NA,NA,S,FALSE,FALSE,O,FALSE
19350,3858,18278,10.09,1,6627879,SH,OTB,13906,Andrija Zivkovic,14,1,RWB,34.44,-8.39,34.827,36.894,23.609,NA,34.492,NA,NA,50.86,43.804,24.64,43.472,39.234,NA,3.681,35.335,-12.075,-18.424,-10.564,NA,-15.563,NA,NA,-1.852,1.487,6.934,6.182,-7.037,NA,-6.012,-7.897,21,37.044,NA,32.545,17.536,34.934,42.877,5.979,26.93,NA,-29.805,1.365,2.613,NA,NA,NA,42.703,-27.783,NA,-10.726,-19.273,15.915,4.292,7.118,-2.511,NA,-2.202,-15.415,-3.709,NA,NA,NA,7.516,23,FALSE,no_data,1,10.05,OTB,TRUE,NA,NA,13906,Andrija Zivkovic,NA,NA,S,FALSE,FALSE,O,FALSE
25652,3858,24595,13.59,1,6628354,SH,OTB,8328,Remo Freuler,8,0,CM,-42.36,-6.57,-23.567,-19.197,-46.183,NA,-35.321,NA,NA,29.859,1.918,-41.264,-6.222,-0.524,NA,-48.932,-41.587,-4.467,-19.973,-7.163,NA,-25.695,NA,NA,-1.968,0.338,14.956,14.366,-13.425,NA,-3.879,-4.331,21,-21.408,NA,-46.727,-28.836,-47.816,-0.829,-45.794,-40.935,NA,-51.456,-46.788,-49.187,NA,NA,NA,-2.453,0.38,NA,-11.189,-4.76,4.431,-12.814,-2.303,-2.373,NA,-2.608,-7.635,-3.476,NA,NA,NA,3.098,23,FALSE,no_data,1,13.58,OTB,FALSE,NA,NA,8328,Remo Freuler,NA,NA,V,FALSE,FALSE,C,FALSE
35723,3858,34696,19.19,1,6626716,SH,OTB,57,Xherdan Shaqiri,23,0,RW,-43.93,8.65,-26.126,-47.019,-37.852,NA,-32.783,NA,NA,31.272,-2.015,-41.653,-11.092,-2.073,NA,-48.087,-21.692,-6.1,-12.395,5.551,NA,-13.165,NA,NA,-0.154,6.149,11.459,13.954,-4.103,NA,2.368,5.181,21,-21.773,NA,-48.783,-36.624,-42.498,-47.965,-45.559,-40.552,NA,-51.625,-44.398,-44.337,NA,NA,NA,-4.742,2.193,NA,-3.808,-3.355,1.035,-0.557,7.161,5.07,NA,0.705,-0.639,5.76,NA,NA,NA,2.746,23,TRUE,goal_detected,1,19.18,OTB,FALSE,NA,NA,57,Xherdan Shaqiri,12653,Vanja Milinković-Savić,S,FALSE,FALSE,G,TRUE
39309,3858,38297,21.19,1,6626784,SH,OTB,157,Granit Xhaka,10,0,CM,-34.15,-6,-32.165,-41.348,-36.09,NA,-37.284,NA,NA,29.66,-4.734,-33.482,-7.199,-4.094,NA,-42.157,-15.068,-5.027,-21.776,5.755,NA,-13.481,NA,NA,0.327,9.46,23.458,17.828,-3.333,NA,2.228,8.252,21,-29.088,NA,-40.818,-38.234,-19.622,-6.293,-42.19,-36.126,NA,-50.258,-38.544,-42.805,NA,NA,NA,-5.409,-0.232,NA,-12.794,3.351,24.191,-5.039,4.72,-6.281,NA,-1.962,-12.69,-1.146,NA,NA,NA,7.295,23,FALSE,no_data,1,21.18,OTB,FALSE,NA,NA,157,Granit Xhaka,12653,Vanja Milinković-Savić,S,FALSE,FALSE,S,FALSE
41217,3858,40213,22.25,1,6626874,SH,OTB,8059,Dušan Vlahović,18,1,CF,46.62,1.22,40.179,42.395,32.145,NA,33.724,NA,NA,51.252,40.408,27.048,36.788,40.312,NA,6.326,32.955,6.142,-6.618,16.857,NA,-10.693,NA,NA,0.397,12.803,24.816,27.437,1.941,NA,4.019,28.373,21,37.744,NA,38.069,17.096,28.969,42.007,17.148,27.049,NA,-26.492,11.012,5.359,NA,NA,NA,36.024,27.455,NA,-15.36,11.607,33.059,4.747,22.906,13.175,NA,2.224,-7.67,8.981,NA,NA,NA,18.679,23,FALSE,no_data,1,22.23,OTB,TRUE,NA,NA,8059,Dušan Vlahović,4656,Gregor Kobel,S,FALSE,FALSE,S,FALSE
41217,3858,40214,22.25,1,6626874,SH,OTB,8059,Dušan Vlahović,18,1,CF,46.62,1.22,40.179,42.395,32.145,NA,33.724,NA,NA,51.252,40.408,27.048,36.788,40.312,NA,6.326,32.955,6.142,-6.618,16.857,NA,-10.693,NA,NA,0.397,12.803,24.816,27.437,1.941,NA,4.019,28.373,21,37.744,NA,38.069,17.096,28.969,42.007,17.148,27.049,NA,-26.492,11.012,5.359,NA,NA,NA,36.024,27.455,NA,-15.36,11.607,33.059,4.747,22.906,13.175,NA,2.224,-7.67,8.981,NA,NA,NA,18.679,23,FALSE,no_data,1,22.23,OTB,TRUE,NA,NA,8059,Dušan Vlahović,4656,Gregor Kobel,S,FALSE,FALSE,S,FALSE
