shooter_id,gk_id,game_id,gametime,penalty,freekick,shooter_x,shooter_y,gk,gk_x,gk_y,shot_dist_goal,angle_to_goal,defender_infront,defender_around,goal,gk_name,gk_position_type,shooter_name,shooter_position_type
1,61,10513,21.48,FALSE,FALSE,48.548,-10.076,away_1,48.114,-9.09,10.823311877609367,15.580296336578254,0,3,FALSE,Hugo Lloris,GK,Harry Kane,CF
1,61,10513,28.47,FALSE,FALSE,30.712,-15.282,away_1,50.997,-1.105,26.61308828377496,12.926930879171195,2,0,FALSE,Hugo Lloris,GK,Harry Kane,CF
1,61,10513,61.03,FALSE,FALSE,35.228,-14.201,away_1,50.059,-1.397,22.360464776028248,14.564994893563144,1,2,FALSE,Hugo Lloris,GK,Harry Kane,CF
1,201,3846,43.83,FALSE,FALSE,-35.815,-3.046,home_12,-49.918,-2.05,16.960758856843643,24.003583209081356,2,2,FALSE,Danny Ward,GK,Harry Kane,CF
1,201,3846,47.22,FALSE,FALSE,-35.784,-11.998,home_12,-49.95,-2.341,20.576118681617288,16.6180254967214,2,2,FALSE,Danny Ward,GK,Harry Kane,CF
1,940,3831,9.18,FALSE,FALSE,42.384,-1.765,away_1,50.767,-2.509,10.268820818380268,38.81381185313802,1,1,FALSE,Matt Turner,GK,Harry Kane,CF
1,940,3831,92.83,FALSE,FALSE,44.132,-1.829,away_1,50.979,0.641,8.565551062249295,45.6052760076988,1,7,FALSE,Matt Turner,GK,Harry Kane,CF
1,2059,10505,40.63,FALSE,FALSE,43.204,0.143,away_16,50.704,-1.407,9.297099816609478,42.97287670447074,2,2,FALSE,Edouard Mendy,GK,Harry Kane,CF
1,2059,10505,47.23,FALSE,FALSE,39.124,-9.281,away_16,45.847,-5.244,16.28048945824418,21.259410942850973,1,1,TRUE,Edouard Mendy,GK,Harry Kane,CF
1,2059,10505,55.67,FALSE,FALSE,25.942,11.651,away_16,49.066,0.737,29.00126143808231,13.218012622097461,1,1,FALSE,Edouard Mendy,GK,Harry Kane,CF
9,1785,10508,94.98,FALSE,FALSE,41.605,0.686,home_1,51.665,0.148,10.916575516158906,37.01500881436139,1,3,FALSE,Bono,GK,Aymeric Laporte,D
10,201,3846,47.92,FALSE,FALSE,-39.924,4.059,home_12,-50.947,2.373,13.21481203044523,29.72389068712525,4,0,FALSE,Danny Ward,GK,John Stones,D
10,201,3846,90.88,FALSE,FALSE,-47.184,4.625,home_12,-52.015,0.49,7.046309743404701,47.02536224774738,1,3,FALSE,Danny Ward,GK,John Stones,D
10,940,3831,9.92,FALSE,FALSE,43.004,1.459,away_1,52.252,-0.246,9.607429260733593,41.37742166195254,2,4,FALSE,Matt Turner,GK,John Stones,D
11,8042,3850,2,FALSE,FALSE,-49.445,-4.284,home_1,-51.508,-0.598,5.261718445527088,57.420731628865575,1,4,FALSE,Wojciech Szczesny,GK,Nicolás Otamendi,D
11,13987,3816,90.57,FALSE,FALSE,43.213,1.506,away_21,51.822,0.253,9.408315736623637,42.14363243463852,2,4,FALSE,Mohammed Al-Owais,GK,Nicolás Otamendi,D
18,1785,10508,102.78,FALSE,FALSE,-17.804,6.667,home_1,-49.297,0.271,35.33074164237144,11.62195646040939,2,1,FALSE,Bono,GK,Rodri,M
20,13799,3821,19.85,FALSE,FALSE,41.532,10.682,away_12,48.401,3.781,15.31019751668802,19.964727672633316,1,1,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
20,13799,3821,25.87,FALSE,FALSE,33.737,10.563,away_12,51.853,1.622,21.532002647222573,16.964563086790086,2,0,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
20,13799,3821,27.5,FALSE,FALSE,28.864,-1.186,away_12,50.705,-0.816,23.665736667173494,17.562007092745567,1,0,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
20,13799,3821,28.65,FALSE,FALSE,38.69,3.968,away_12,50.382,2.345,14.368755130490605,27.636575735003373,3,1,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
20,13799,3821,40.58,FALSE,FALSE,27.834,1.959,away_12,49.67,0.116,24.743670645237742,16.778124690090113,2,1,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
20,13799,3821,59.2,FALSE,FALSE,36.923,-0.191,away_12,47.188,0.166,15.578170945268253,26.441319214933692,2,3,FALSE,Shuichi Gonda,GK,Ilkay Gündogan,M
21,61,10513,3.25,FALSE,FALSE,34.521,-0.576,away_1,50.347,-0.388,17.988224398200064,22.990987116446686,1,3,FALSE,Hugo Lloris,GK,Phil Foden,M
21,201,3846,14.03,FALSE,FALSE,-32.343,14.594,home_12,-49.86,1.092,24.885527621491168,13.686452439761526,1,0,FALSE,Danny Ward,GK,Phil Foden,M
21,201,3846,37.18,FALSE,FALSE,-39.979,7.663,home_12,-49.496,1.798,14.679816415745806,24.394463758110433,2,2,FALSE,Danny Ward,GK,Phil Foden,M
21,201,3846,50.88,FALSE,FALSE,-48.125,-7.378,home_12,-51.201,-0.38,8.577616743594925,28.019869498166795,1,0,TRUE,Danny Ward,GK,Phil Foden,M
21,201,3846,76.68,FALSE,FALSE,-49.818,-0.726,home_12,-51.765,-4.671,2.7785247884444026,106.12382595080018,0,3,FALSE,Danny Ward,GK,Phil Foden,M
21,201,3846,93.42,FALSE,FALSE,-44.543,8.964,home_12,-50.692,2.708,11.986123017890314,24.089723587013573,2,2,FALSE,Danny Ward,GK,Phil Foden,M
22,13854,3852,50.6,FALSE,FALSE,-35.468,-6.862,home_1,-50.897,-1.247,18.362354642038692,21.059596704707154,1,0,FALSE,Dominik Livakovic,GK,Kevin De Bruyne,M
22,13862,3837,15.83,FALSE,FALSE,31.323,11.353,away_12,49.448,0.385,24.02823210309073,15.36931320746079,1,1,FALSE,Munir,GK,Kevin De Bruyne,M
22,13862,3837,34.83,FALSE,FALSE,28.961,-2.08,away_12,47.419,-1.35,23.63071985784606,17.544243474792456,2,2,FALSE,Munir,GK,Kevin De Bruyne,M
22,13862,3837,38.83,FALSE,TRUE,47.536,30.33,away_12,51.071,0.541,30.733535364484183,2.23472142596058,0,0,FALSE,Munir,GK,Kevin De Bruyne,M
22,14031,3823,85.03,FALSE,FALSE,30.528,0.038,away_18,48.394,0.266,21.97203285997907,18.914441434136688,1,3,FALSE,Milan Borjan,GK,Kevin De Bruyne,M
22,14031,3823,90.78,FALSE,FALSE,36.757,-12.081,away_18,51.001,-3.294,19.8442084750186,16.853837759987936,2,0,FALSE,Milan Borjan,GK,Kevin De Bruyne,M
25,13968,3813,45.28,FALSE,FALSE,45.142,-2.426,away_24,49.365,-1.576,7.74762157052085,49.115465222991396,1,4,TRUE,Alireza Beiranvand,GK,Raheem Sterling,F
26,3841,3855,44.53,FALSE,FALSE,-32.537,6.393,home_1,-48.647,2.292,20.961674980783382,18.933467339193825,1,3,FALSE,Keylor Navas,GK,Leroy Sané,F
26,3841,3855,45.18,FALSE,FALSE,-34.014,4.612,home_1,-50.037,0.8,19.052630789473664,21.15922502547629,2,2,FALSE,Keylor Navas,GK,Leroy Sané,F
26,3841,3855,54.88,FALSE,FALSE,-26.16,-0.943,home_1,-51.03,0.018,26.356874795771976,15.801820044158795,3,2,FALSE,Keylor Navas,GK,Leroy Sané,F
27,1785,10512,70.73,FALSE,FALSE,-42.981,-4.175,home_1,-51.578,-0.654,10.39432470148975,36.360661613740035,2,2,FALSE,Bono,GK,Bernardo Silva,M
27,13924,3843,88.07,FALSE,FALSE,-39.619,15.88,away_23,-49.788,3.656,20.447360734334396,13.115111119667855,1,1,FALSE,Sergio Rochet,GK,Bernardo Silva,M
30,13871,3859,14.17,FALSE,FALSE,-46.619,-3.848,home_16,-52.116,1.425,7.028034220178498,50.09750844903654,2,3,FALSE,Devis Epassy,GK,Gabriel Jesus,F
30,13871,3859,52.4,FALSE,FALSE,-17.224,13.085,home_16,-47.177,-2.584,37.62463821752974,10.43419678975689,1,0,FALSE,Devis Epassy,GK,Gabriel Jesus,F
37,940,10502,70.17,FALSE,FALSE,38.074,-4.476,away_1,52.021,0.265,15.104438155720988,26.184743449726597,3,0,FALSE,Matt Turner,GK,Virgil van Dijk,D
37,2059,3812,26.63,FALSE,FALSE,47.509,-2.147,home_16,52.332,0.005,5.433202554663318,66.18605449252475,2,3,FALSE,Edouard Mendy,GK,Virgil van Dijk,D
37,2059,3812,52.63,FALSE,FALSE,48.341,-2.083,home_16,51.431,-0.358,4.651469660225679,74.8540811897956,1,4,FALSE,Edouard Mendy,GK,Virgil van Dijk,D
37,11241,10502,28,FALSE,FALSE,45.54,-4.163,home_23,-25,1.008,98.1283453901063,4.268234216856205,2,1,FALSE,Andries Noppert,GK,Virgil van Dijk,D
40,144,10514,15.87,FALSE,FALSE,-48.447,-10.136,home_23,-50.94,-3.341,10.916286227467653,15.668586091373678,1,1,FALSE,Emiliano Martínez,GK,Dejan Lovren,D
40,144,10514,61.77,FALSE,FALSE,-41.004,0.081,home_23,-51.301,0.363,11.496285356583668,35.31850314307036,1,6,FALSE,Emiliano Martínez,GK,Dejan Lovren,D
40,144,10514,94.85,FALSE,FALSE,-13.812,-0.692,home_23,-50.167,-0.382,38.69418829746917,10.805128844272327,3,0,FALSE,Emiliano Martínez,GK,Dejan Lovren,D
40,1785,3820,51.9,FALSE,FALSE,-46.096,-0.76,home_1,-51.064,0.319,6.448939137563638,58.97620405478193,3,3,FALSE,Bono,GK,Dejan Lovren,D
47,61,10513,51,FALSE,FALSE,44.626,-7.231,away_1,50.911,-2.622,10.690520894699192,29.738594610638703,2,3,FALSE,Hugo Lloris,GK,Jordan Henderson,M
47,2059,10505,37.98,FALSE,FALSE,41.761,3.33,away_16,48.676,3.279,11.243443467194556,34.82014137811062,1,2,TRUE,Edouard Mendy,GK,Jordan Henderson,M
55,13854,10506,104.33,FALSE,FALSE,42.363,2.196,away_1,-26.428,-1.434,94.88841438763744,4.416613663990128,2,0,FALSE,Dominik Livakovic,GK,Takumi Minamino,F
57,8538,10509,29.63,FALSE,TRUE,33.254,8.124,home_22,51.303,0.369,20.8903779764752,18.419907517645907,2,3,FALSE,Diogo Costa,GK,Xherdan Shaqiri,M
