shooter,goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
1,1,-0.002758815884590149,-0.005716145154321053,-0.04592972182583793,0.1342017514789177,-0.2687515780529997,0.2573192877443576,Harry Kane,CF
9,0,-0.04385395348072052,-0.002977690195893156,-0.03193865122019385,0.10005238352843887,-0.19908036191163336,0.19312498151984703,Aymeric Laporte,D
10,0,-0.3140208572149277,-0.07049558444885361,-0.40671374307702646,0.1747998400588828,-0.4131032709642639,0.27211210206655667,John Stones,D
11,0,-0.3008122183382511,-0.05760507636243385,-0.431773517780763,0.13477267539840926,-0.321759520143316,0.20654936741844832,Nicolás Otamendi,D
18,0,-0.04901969060301781,0.010352374915595873,0.10542837301195956,0.09848651418407586,-0.1826811928851928,0.20338594271638455,Rodri,M
20,0,-0.6189364157617092,-0.10556199481040572,-0.6591543376248593,0.16280223586892384,-0.42465437711349646,0.213530387492685,Ilkay Gündogan,M
21,1,0.07038473710417747,0.15557981701499088,0.7109649285148896,0.21790825467720285,-0.27152036215232667,0.5826799961823085,Phil Foden,M
22,0,-0.49556658044457436,-0.08856854214726631,-0.4788095179632111,0.1851232619489683,-0.4514101355672442,0.2742730512727115,Kevin De Bruyne,M
25,1,0.646714836359024,0.26732639073129255,2.4947210574526557,0.10708257319525626,0.0574445472685903,0.47720823419399483,Raheem Sterling,F
26,0,-0.2181754782795906,0.015533998065633629,0.09848361712632113,0.14915374733182576,-0.2768073467047449,0.3078753428360121,Leroy Sané,F
27,0,-0.14857445657253265,0.0205954991962711,0.13396022391248963,0.14808258212761488,-0.26964636177385404,0.3108373601663963,Bernardo Silva,M
30,0,-0.21949408575892448,-0.033546913948097855,-0.23351805652744861,0.14612556363360168,-0.3199530186699571,0.25285919077376146,Gabriel Jesus,F
37,0,-0.5736590698361397,-0.1060791827418745,-0.5350194263955926,0.20031660804224002,-0.4986997345046649,0.2865413690209159,Virgil van Dijk,D
40,0,-0.48052244260907173,-0.027743706058830905,-0.15365496822431193,0.19045081958874008,-0.40102731245276146,0.3455399003350996,Dejan Lovren,D
47,1,0.6777148395776749,0.2157683371415973,1.4883177060041337,0.1447523274636915,-0.06794622468723802,0.49948289897043263,Jordan Henderson,M
55,0,-0.05406399816274643,-0.003929778418367358,-0.03156379315752402,0.11692582724406131,-0.23310439981672754,0.2252448429799928,Takumi Minamino,F
57,1,0.7893584556877613,0.22611613901864458,1.3657050905688273,0.1648643330682224,-0.09701795379507133,0.5492502318323604,Xherdan Shaqiri,M
67,0,-0.3812674283981323,-0.12113956369614506,-0.7263495759021387,0.1676254824698364,-0.44968550933702445,0.2074063819447343,Jan Vertonghen,D
71,0,-0.5750062763690948,-0.05672051943499624,-0.34410142221956014,0.16885581997066137,-0.3876779265774925,0.27423688770750004,Ben Davies,D
83,0,-1.1098678037524223,-0.0779356975144874,-0.34145100389112737,0.23413008015405246,-0.5368306546164302,0.38095925958745536,Heung-min Son,F
84,0,-0.10414129495620728,-0.00584566805209121,-0.03759540261842937,0.14894472336793033,-0.29777732585323463,0.28608598974905225,Steven Bergwijn,F
90,1,0.5672244355082512,0.3060048795112119,1.3833211344730805,0.21989077528582468,-0.12498104004900445,0.7369907990714283,Antonio Rüdiger,D
92,1,0.6223863121122122,0.23673822632779046,1.3764858559292719,0.17184385219667606,-0.1000757239776946,0.5735521766332755,Andreas Christensen,D
100,0,-0.4633794277906418,-0.05192412120307385,-0.3115198083831501,0.16704900144326118,-0.37934016403186577,0.275491921625718,Mateo Kovacic,M
105,0,-0.3224058225750923,-0.02770734442554802,-0.14760699036079974,0.1925813982276858,-0.4051668849518122,0.3497521961007162,Mason Mount,M
107,1,0.15946374088525772,0.10293061873015869,0.47575552409171007,0.21224804373061934,-0.3130755469818552,0.5189367844421726,Christian Pulisic,F
112,1,0.035009488463401794,0.002172172937767424,0.004809504813996726,0.21751340925168172,-0.4241541091955287,0.4284984550710636,Michy Batshuayi,F
113,4,0.7279228679835796,0.32577351771101043,1.217728930275053,0.2656057970596412,-0.1948138445258863,0.8463608799479072,Olivier Giroud,F
118,0,-0.625274308025837,-0.002854753105316169,-0.02607844303993902,0.2014127816763786,-0.39762380519101825,0.3919142989803859,Harry Maguire,D
123,0,-0.1995161548256874,-0.03254913683106575,-0.1952446631121819,0.1698500900224034,-0.3654553132749764,0.3003570396128449,Luke Shaw,D
127,0,-0.04336412623524666,-4.1209285084399675e-5,-0.00312179854569528,0.09134757750571222,-0.17908246119628035,0.17900004262611158,Diogo Dalot,D
132,0,-0.2793676517903805,-0.07184932017825661,-0.43499266033977557,0.1664448377325408,-0.3980812021340366,0.25438256177752333,Fred,M
133,0,-0.4261084832251072,-0.029959316348576463,-0.15766787531720183,0.19951940782967173,-0.42101735569473303,0.3610987229975801,Bruno Fernandes,M
