dob,firstName,height,id,lastName,nickname,positionGroupType
2001-06-17,Jurrien,182.0,8022,Timber,Jurrien Timber,D
2000-03-06,Iliman,180.0,2144,Ndiaye,Iliman Ndiaye,M
1996-01-18,Ivo,195.0,5199,Grbic,Ivo Grbic,GK
1992-04-08,Mathew,184.0,435,Ryan,Mathew Ryan,GK
1988-02-12,Nicolás,183.0,11,Otamendi,Nicolás Otamendi,D
1988-02-15,Rui,190.0,227,Patrício,Rui Patrício,GK
1986-11-05,Kasper,189.0,200,Schmeichel,Kasper Schmeichel,GK
1992-08-28,Ui-jo,185.0,4280,Hwang,Ui-jo Hwang,F
1993-07-09,DeAndre,173.0,328,Yedlin,DeAndre Yedlin,D
1991-10-10,Xherdan,169.0,57,Shaqiri,Xherdan Shaqiri,M
2003-06-28,Brandon,179.0,13790,Aguilera,Brandon Aguilera,M
1988-06-08,Kamil,180.0,2042,Grosicki,Kamil Grosicki,M
1988-05-27,Denis,178.0,1975,Odoi,Denis Odoi,D
1992-12-29,Mislav,179.0,13859,Orsic,Mislav Orsic,F
1997-10-22,Joe,193.0,2083,Rodon,Joe Rodon,D
1990-03-27,Nicolas,184.0,6655,N'Koulou,Nicolas N'Koulou,D
2000-09-14,Ethan,183.0,1931,Ampadu,Ethan Ampadu,D
1989-03-02,Toby,187.0,66,Alderweireld,Toby Alderweireld,D
2001-01-09,Eric,182.0,12,García,Eric García,D
1990-03-26,Romain,188.0,233,Saïss,Romain Saïss,D
1993-03-03,Antonio,190.0,90,Rüdiger,Antonio Rüdiger,D
1992-12-15,Alex,181.0,2071,Telles,Alex Telles,D
2000-11-07,Anass,176.0,13560,Zaroury,Anass Zaroury,LW
1986-09-30,Olivier,192.0,113,Giroud,Olivier Giroud,F
1996-04-10,Andreas,187.0,92,Christensen,Andreas Christensen,D
2000-02-13,Vitor,172.0,1907,Machado Ferrira,Vitinha,M
1998-10-22,Harry,198.0,8257,Souttar,Harry Souttar,D
1997-11-09,Matias,180.0,12529,Vina,Matias Vina,D
1997-01-03,Fode,182.0,8584,Ballo-Toure,Fode Ballo-Toure,D
2002-01-23,Josko,185.0,4892,Gvardiol,Josko Gvardiol,D
1998-03-11,Axel,190.0,3878,Disasi,Axel Disasi,D
1993-10-02,Michy,185.0,112,Batshuayi,Michy Batshuayi,F
1992-09-27,Granit,186.0,157,Xhaka,Granit Xhaka,M
1987-01-24,Wayne,198.0,462,Hennessey,Wayne Hennessey,GK
1995-09-23,Connor,175.0,6018,Roberts,Connor Roberts,D
1995-06-09,Ethan,195.0,7015,Horvath,Ethan Horvath,GK
